school_urn,school_name,la_name,time_period,avg_att8,avg_ebaccaps,avg_p8score,pt_anypass,pt_entbasics
100544,David Game College,City of London,202324,6.8,0.53,,61.2,2.0
100001,City of London School for Girls,City of London,202324,60.3,3.08,,100.0,0.0
100003,City of London School,City of London,202324,33.3,1.88,,100.0,100.0
137181,The UCL Academy,Camden,202324,46.6,4.34,-0.16,96.5,94.2
100049,Haverstock School,Camden,202324,44.2,3.87,-0.2,96.8,94.9
100050,Parliament Hill School,Camden,202324,58.9,5.38,0.5,97.2,96.6
100051,Regent High School,Camden,202324,44.5,4.13,-0.27,98.8,97.7
100052,Hampstead School,Camden,202324,41.2,3.58,-0.46,99.0,95.1
100053,Acland Burghley School,Camden,202324,50.4,4.65,-0.3,98.9,100.0
100054,The Camden School for Girls,Camden,202324,65.4,6.19,0.62,100.0,99.2
100055,Maria Fidelis Catholic School FCJ,Camden,202324,41.8,3.69,-0.58,97.7,93.9
100056,William Ellis School,Camden,202324,48.8,4.7,-0.17,99.2,99.2
100059,La Sainte Union Catholic Secondary School,Camden,202324,48.7,4.26,0.18,98.6,97.3
142408,Jeannine Manuel School,Camden,202324,1.1,0.11,,11.4,0.0
149566,Odyssey House School - Bloomsbury,Camden,202324,20.3,2.14,,50.0,33.3
100062,St Margaret's School,Camden,202324,51.0,5.41,,93.8,0.0
100065,University College School,Camden,202324,20.3,1.37,,64.8,0.0
100074,North Bridge House Senior School,Camden,202324,60.9,5.48,,100.0,99.0
100076,South Hampstead High School,Camden,202324,49.4,3.23,,100.0,0.0
100084,Fine Arts College,Camden,202324,41.3,2.2,,93.3,86.7
100171,Saint Mary Magdalene Church of England All Through School,Greenwich,202324,43.9,3.64,-0.27,99.4,99.4
138449,Harris Academy Greenwich,Greenwich,202324,49.8,4.73,0.35,98.9,98.3
138245,Ark Greenwich Free School,Greenwich,202324,63.6,6.01,1.43,100.0,100.0
143686,Woolwich Polytechnic School for Girls,Greenwich,202324,52.6,4.55,0.4,99.2,97.9
143927,Royal Greenwich Trust School,Greenwich,202324,39.7,3.49,-0.36,98.6,97.9
145315,Leigh Academy Halley,Greenwich,202324,44.6,4.34,0.09,99.3,99.3
145895,Leigh Academy Blackheath,Greenwich,202324,54.0,5.21,0.22,99.4,99.4
147439,The John Roan School,Greenwich,202324,41.6,3.96,-0.29,96.0,96.0
100182,Eltham Hill School,Greenwich,202324,52.5,4.72,0.25,99.4,98.8
100183,Plumstead Manor School,Greenwich,202324,36.2,2.99,-0.65,94.2,89.8
141163,Woolwich Polytechnic School,Greenwich,202324,44.4,3.57,-0.04,97.0,97.9
141309,Leigh Stationers' Academy,Greenwich,202324,45.5,4.08,-0.33,97.4,97.4
100190,Thomas Tallis School,Greenwich,202324,45.9,4.14,-0.12,97.7,98.5
100193,St Ursula's Convent School,Greenwich,202324,50.9,4.74,0.09,98.4,96.9
141716,St Thomas More Catholic Comprehensive School,Greenwich,202324,62.5,5.47,0.74,100.0,100.0
141315,Pulse and Water College,Greenwich,202324,11.0,0.72,,100.0,93.8
136092,Wize Up,Greenwich,202324,6.1,0.24,,62.5,43.8
136100,StreetVibes Media Academy,Greenwich,202324,4.4,0.28,,46.2,38.5
100200,Riverston School,Greenwich,202324,16.3,1.37,,68.0,32.0
100202,Colfe's School,Greenwich,202324,41.8,4.23,,100.0,0.0
100756,Blackheath High School,Greenwich,202324,39.7,3.86,,100.0,0.0
132066,Greenwich Waldorf School,Greenwich,202324,5.6,0.31,,33.3,30.0
105135,St Paul's Academy,Greenwich,202324,42.5,3.71,-0.25,98.3,99.1
100204,King's Oak School,Greenwich,202324,8.1,0.26,-1.8,77.8,77.8
145609,Lubavitch House School (Senior Girls),Hackney,202324,41.5,3.36,0.02,93.3,86.7
140210,Mossbourne Victoria Park Academy,Hackney,202324,65.2,6.32,1.54,100.0,100.0
143756,"City of London Academy, Shoreditch Park",Hackney,202324,58.9,5.63,0.68,98.9,98.9
147653,Waterside Academy,Hackney,202324,48.2,4.46,1.04,98.9,100.0
149901,Haggerston School,Hackney,202324,48.2,4.47,0.16,96.9,96.9
137442,Clapton Girls' Academy,Hackney,202324,57.8,4.94,0.84,99.4,99.4
100279,Stoke Newington School and Sixth Form,Hackney,202324,52.2,4.38,0.28,99.6,99.6
133599,Yesodey Hatorah Senior Girls School,Hackney,202324,52.2,4.24,0.92,100.0,98.5
100282,All Saints Catholic High School,Hackney,202324,42.5,3.86,0.27,97.2,97.2
100284,The Urswick School - A Church of England Secondary School,Hackney,202324,39.3,3.41,-0.26,99.3,99.3
100285,Cardinal Pole Catholic School,Hackney,202324,45.6,4.21,0.15,98.8,98.8
137808,Leaways School,Hackney,202324,3.4,0.25,,41.2,64.7
138516,Vishnitz Girls School,Hackney,202324,19.4,1.52,,77.8,0.0
100287,Yesodey Hatorah School,Hackney,202324,8.4,0.55,,71.4,42.9
136015,Bnos Zion of Bobov,Hackney,202324,59.8,6.65,,100.0,88.2
100293,Beis Rochel d'Satmar Girls' School,Hackney,202324,12.1,0.65,,73.9,65.2
100295,Beis Malka Girls' School,Hackney,202324,34.9,3.16,,94.9,92.3
100300,Tayyibah Girls' School,Hackney,202324,55.3,5.0,,100.0,91.7
102171,Beis Chinuch Lebonos Girls School,Hackney,202324,45.6,3.79,,94.3,90.6
131342,Beis Trana Girls' School,Hackney,202324,16.8,1.48,,75.0,65.0
